€Time(ms),Temperature(C),Humidity(% Relative),Pressure(hPa),Altitude(m),Ambient Light(0-255)   
0,0,0,-10988.66145,-293,255
15000,12.74,80.65136719,1031.266836,-146,84
30000,12.78,79.61328125,1031.223594,-146,69
45000,12.8,79.36328125,1031.174297,-146,103
60000,12.81,77.58984375,1031.218398,-146,102
75000,12.83,77.50585938,1031.224141,-146,119
90000,12.83,77.52539063,1031.177266,-146,71
105000,12.84,77.09765625,1030.946328,-138,126
120000,12.85,77.2734375,1030.459688,-138,161
135000,12.87,77.28613281,1030.390977,-138,144
150000,12.88,77.37792969,1030.022461,-138,173
165000,12.87,78.42871094,1029.67582,-130,196
180000,12.89,78.52050781,1029.783359,-130,192
195000,12.89,78.62792969,1029.700859,-130,188
210000,12.95,77.26171875,1029.690664,-130,197
225000,12.91,78.13378906,1029.659961,-130,192
240000,12.93,79.14355469,1029.685,-130,191
255000,12.95,78.51269531,1029.663164,-130,205
270000,12.98,76.48632812,1029.657891,-130,211
285000,12.95,78.46386719,1029.67125,-130,187
300000,13,76.95898438,1029.671641,-130,192
315000,13.01,76.68652344,1029.688242,-130,197
330000,12.97,77.16796875,1029.778828,-130,187
345000,12.96,77.79101563,1030.284922,-138,141
360000,12.98,77.66796875,1030.428125,-138,144
375000,13.02,76.21972656,1030.384492,-138,194
390000,12.99,77.43554687,1030.087109,-138,164
405000,13,76.61621094,1029.644141,-130,189
420000,13.04,76.16210938,1029.674805,-130,198
435000,13.07,75.50488281,1029.669531,-130,205
450000,13.03,77.17871094,1029.693867,-130,205
465000,13.08,76.1796875,1029.658555,-130,197
480000,13.06,77.16503906,1029.716094,-130,194
495000,13.08,78.23144531,1029.741133,-130,193
510000,13.09,76.49609375,1029.79332,-130,206
525000,13.07,77.52832031,1029.760195,-130,202
540000,13.07,78.48535156,1029.752031,-130,200
555000,13.07,78.52441406,1029.834609,-130,180
570000,13.07,78.40722656,1029.834609,-130,177
585000,13.07,77.53808594,1029.842695,-130,171
600000,13.09,77.99121094,1029.867734,-130,173
615000,13.1,77.70800781,1029.829336,-130,164
630000,13.09,76.84765625,1029.903438,-130,168
645000,13.11,76.59765625,1029.826523,-130,172
660000,13.11,76.39160156,1029.845898,-130,182
675000,13.05,78.74609375,1029.919648,-130,159
690000,13.06,78.27734375,1029.983086,-130,157
705000,13.07,78.11425781,1030.007813,-138,155
720000,13.08,77.37402344,1029.886797,-130,170
735000,13.09,78.14746094,1029.950313,-130,173
750000,13.12,75.86621094,1029.898086,-130,186
