Time (min),Time(s),Time(ms),Temperature(C),Humidity(% Relative),Pressure(hPa),Altitude(m)                        
0,0,0,13.85,74.01953125,1035.74543,-179
0.5,30,30000,13.83,70.91796875,1035.710313,-179
1,60,60000,13.81,77.03808594,1035.648047,-179
1.5,90,90000,13.83,73.18945313,1035.682812,-179
2,120,120000,13.83,72.39355469,1035.517812,-179
2.5,150,150000,13.87,72.87207031,1035.505547,-179
3,180,180000,13.81,71.54394531,1035.474062,-179
3.5,210,210000,13.83,70.86914063,1035.435352,-179
4,240,240000,13.83,71.61621094,1035.380352,-179
4.5,270,270000,13.82,70.52246094,1035.390273,-179
5,300,300000,13.85,69.98535156,1035.214336,-179
5.5,330,330000,13.84,69.9140625,1035.334258,-179
6,360,360000,13.79,69.7109375,1035.44793,-179
6.5,390,390000,13.78,70.23046875,1035.347891,-179
7,420,420000,13.75,70.09765625,1034.654258,-171
7.5,450,450000,13.79,69.35644531,1034.623047,-171
8,480,480000,13.74,69.92871094,1034.71918,-171
8.5,510,510000,13.76,69.99023438,1034.717852,-171
9,540,540000,13.71,70.86816406,1034.749023,-171
9.5,570,570000,13.69,71.15820313,1034.787773,-171
10,600,600000,13.66,71.44042969,1034.872578,-171
10.5,630,630000,13.66,71.45996094,1034.845078,-171
11,660,660000,13.6,71.38085937,1034.795078,-171
11.5,690,690000,13.62,70.83398437,1034.995117,-171
12,720,720000,13.54,71.58691406,1035.019961,-179
12.5,750,750000,13.41,72.65820312,1034.993359,-171
13,780,780000,13.32,73.15332031,1034.936641,-171
13.5,810,810000,13.43,72.68066406,1034.891055,-171
14,840,840000,13.48,71.61621094,1034.887422,-171
14.5,870,870000,13.48,71.77539063,1034.868555,-171
15,900,900000,13.37,73.09277344,1034.859531,-171
15.5,930,930000,13.29,73.90429688,1034.892891,-171
16,960,960000,13.35,73.61035156,1034.94332,-171
16.5,990,990000,13.38,73.19238281,1034.913203,-171
17,1020,1020000,13.42,72.30566406,1034.946992,-171
17.5,1050,1050000,13.43,72.35644531,1034.827188,-171
18,1080,1080000,13.43,72.15039062,1034.882109,-171
18.5,1110,1110000,13.46,71.59472656,1034.751016,-171
19,1140,1140000,13.46,71.49707031,1034.723516,-171
19.5,1170,1170000,13.45,72.61523438,1034.807305,-171
20,1200,1200000,13.44,72.64355469,1034.817227,-171
20.5,1230,1230000,13.37,74.19238281,1034.895625,-171
21,1260,1260000,13.32,74.38183594,1034.973047,-179
21.5,1290,1290000,13.28,74.55957031,1034.811758,-171
22,1320,1320000,13.35,73.74707031,1034.796992,-171
22.5,1350,1350000,13.3,74.5546875,1034.855508,-171
23,1380,1380000,13.32,74.00878906,1034.890625,-171
23.5,1410,1410000,13.36,72.69824219,1034.78707,-171
24,1440,1440000,13.36,72.89453125,1034.850586,-171
24.5,1470,1470000,13.37,72.70996094,1034.785742,-171
25,1500,1500000,13.38,73.33007813,1034.822187,-171
25.5,1530,1530000,13.38,73.20214844,1034.822187,-171
26,1560,1560000,13.38,72.76074219,1034.739727,-171
26.5,1590,1590000,13.38,72.56445313,1034.803281,-171
27,1620,1620000,13.35,73.53125,1034.860859,-171
27.5,1650,1650000,13.36,73.40527344,1034.814531,-171
28,1680,1680000,13.35,73.109375,1034.750977,-171
28.5,1710,1710000,13.34,74.68945312,1034.788359,-171
29,1740,1740000,13.33,73.95996094,1034.688359,-171
29.5,1770,1770000,13.34,72.57714844,1034.751953,-171
30,1800,1800000,13.34,72.63769531,1034.733398,-171
30.5,1830,1830000,13.32,74.27441406,1034.698281,-171
31,1860,1860000,13.33,72.59472656,1034.660937,-171
31.5,1890,1890000,13.33,73.40039062,1034.77082,-171
32,1920,1920000,13.34,73.34277344,1034.669492,-171
32.5,1950,1950000,13.33,74.24414063,1034.706914,-171
33,1980,1980000,13.3,74.69238281,1034.608242,-171
33.5,2010,2010000,13.3,74.94824219,1034.580781,-171
34,2040,2040000,13.28,75.22851562,1034.545664,-171
34.5,2070,2070000,13.29,75.26855469,1034.664492,-171
35,2100,2100000,13.32,74.29199219,1034.606953,-171
35.5,2130,2130000,13.3,74.70019531,1034.572148,-171
36,2160,2160000,13.32,75.02832031,1034.524492,-171
36.5,2190,2190000,13.31,74.33886719,1034.488437,-171
37,2220,2220000,13.29,75.984375,1034.535742,-171
37.5,2250,2250000,13.3,75.2890625,1034.544687,-171
38,2280,2280000,13.3,75.60351563,1034.489766,-171
38.5,2310,2310000,13.31,74.44726562,1034.515898,-171
39,2340,2340000,13.33,74.95117188,1034.459648,-171
39.5,2370,2370000,13.34,74.90625,1034.568555,-171
40,2400,2400000,13.17,75.96484375,1034.600508,-171
40.5,2430,2430000,13.22,75.98144531,1034.569453,-171
41,2460,2460000,13.24,75.87890625,1034.585703,-171
41.5,2490,2490000,13.23,75.3671875,1034.595586,-171
42,2520,2520000,13.21,75.99121094,1034.551875,-171
42.5,2550,2550000,13.2,76.40136719,1034.487969,-171
43,2580,2580000,13.24,75.73046875,1034.521797,-171
43.5,2610,2610000,13.21,76.03027344,1034.533008,-171
44,2640,2640000,13.2,76.1171875,1034.54293,-171
44.5,2670,2670000,13.23,75.75,1034.422148,-171
45,2700,2700000,13.27,73.8125,1034.418242,-171
45.5,2730,2730000,13.29,73.24609375,1034.362266,-171
46,2760,2760000,13.29,74.296875,1034.480781,-171
46.5,2790,2790000,13.31,74.03515625,1034.397383,-171
47,2820,2820000,13.31,74.67285156,1034.369922,-171
47.5,2850,2850000,13.31,74.77148438,1034.351055,-171
48,2880,2880000,13.32,73.33105469,1034.313672,-171
48.5,2910,2910000,13.34,74.1875,1034.257383,-171
49,2940,2940000,13.34,73.39355469,1034.156445,-171
49.5,2970,2970000,13.34,73.89257813,1034.1475,-171
50,3000,3000000,13.36,74.34765625,1034.163711,-171
50.5,3030,3030000,13.34,75.92675781,1034.101484,-171
51,3060,3060000,13.37,75.125,1034.035273,-171
51.5,3090,3090000,13.36,74.94628906,1034.053789,-171
52,3120,3120000,13.37,76.12597656,1034.090195,-171
52.5,3150,3150000,13.37,77.00878906,1033.980312,-163
53,3180,3180000,13.38,76.52050781,1034.116367,-171
53.5,3210,3210000,13.36,77.00683594,1034.136211,-171
54,3240,3240000,13.39,76.10058594,1034.106406,-171
54.5,3270,3270000,13.41,75.23046875,1034.105078,-171
55,3300,3300000,13.41,75.66210938,1034.050117,-171
55.5,3330,3330000,13.41,75.43652344,1034.059102,-171
56,3360,3360000,13.45,75.63964844,1033.98293,-171
56.5,3390,3390000,13.46,74.48339844,1033.981563,-163
57,3420,3420000,13.45,75.60058594,1033.964023,-163
57.5,3450,3450000,13.36,76.59570312,1033.998867,-163
58,3480,3480000,13.43,76.04882812,1034.030273,-171
58.5,3510,3510000,13.34,76.95605469,1033.991563,-163
59,3540,3540000,13.32,77.375,1034.066367,-171
59.5,3570,3570000,13.32,77.5,1034.112383,-171
60,3600,3600000,13.39,76.39453125,1034.042891,-171
60.5,3630,3630000,13.34,77.17089844,1034.065039,-171
61,3660,3660000,13.3,77.05761719,1034.003828,-171
61.5,3690,3690000,13.34,77.33886719,1034.046523,-171
62.5,3750,3750000,13.32,77.24707031,1034.038945,-171
63,3780,3780000,13.37,77.1171875,1034.043828,-171
63.5,3810,3810000,13.42,76.76269531,1034.040234,-171
64,3840,3840000,13.42,77.13574219,1033.99418,-163
64.5,3870,3870000,13.37,77.20507813,1034.035273,-171
65,3900,3900000,13.44,76.72753906,1033.992852,-171
65.5,3930,3930000,13.4,77.43652344,1033.895547,-163
66,3960,3960000,13.44,77.23730469,1033.965352,-163
66.5,3990,3990000,13.49,76.2265625,1033.832891,-163
67,4020,4020000,13.5,76.83496094,1033.905352,-163
67.5,4050,4050000,13.51,77.00292969,1033.867969,-163
68,4080,4080000,13.47,77.33105469,1033.798125,-163
68.5,4110,4110000,13.47,77.44921875,1033.880586,-163
69,4140,4140000,13.54,76.79492188,1033.846719,-163
69.5,4170,4170000,13.59,76.19335937,1033.870508,-163
70,4200,4200000,13.61,75.68652344,1033.740664,-163
70.5,4230,4230000,13.6,76.42089844,1033.833086,-163
71,4260,4260000,13.6,76.54003906,1033.841992,-163
71.5,4290,4290000,13.58,76.91796875,1033.880469,-163
72,4320,4320000,13.57,77.54394531,1033.863242,-163
72.5,4350,4350000,13.54,77.90136719,1033.948047,-163
73,4380,4380000,13.49,77.9921875,1033.924258,-163
73.5,4410,4410000,13.54,77.31445313,1033.901719,-163
74,4440,4440000,13.56,77.375,1033.900703,-163
74.5,4470,4470000,13.56,77.34570312,1034.038125,-163
75,4500,4500000,13.54,77.36230469,1033.893125,-163
75.5,4530,4530000,13.55,77.45214844,1033.946719,-163
76,4560,4560000,13.52,77.72167969,1033.940469,-163
76.5,4590,4590000,13.52,78.05664063,1033.976875,-163
77,4620,4620000,13.51,77.82910156,1034.041797,-171
77.5,4650,4650000,13.57,77.61230469,1033.954297,-163
78,4680,4680000,13.61,76.81542969,1033.878086,-163
78.5,4710,4710000,13.64,76.92089844,1033.966797,-163
79,4740,4740000,13.65,76.14453125,1033.865781,-163
79.5,4770,4770000,13.66,76.8828125,1034.001875,-171
80,4800,4800000,13.67,76.85546875,1033.991914,-163
80.5,4830,4830000,13.67,77.38574219,1034.046914,-171
81,4860,4860000,13.67,76.15820313,1033.991914,-171
81.5,4890,4890000,13.67,76.09960938,1034.074414,-171
